name
Abies alba
Abies balsamea
Abies concolor
Abies grandis
Abies lasiocarpa
Abies nordmanniana subsp. equi-trojani
Abies pinsapo
Acacia constricta
Acacia cyclops
Acer campestre
Acer glabrum
Acer glabrum var. diffusum
Acer monspessulanum
Acer negundo
Acer opalus
Acer platanoides
Acer pseudoplatanus
Acer rubrum
Acer saccharinum
Acer saccharum
Acer saccharum subsp. grandidentatum
Acinodendron pohlianum
Acmispon glaber
Acmopyle pancheri
Acosmium cardenasii
Acosmium cardenasii
Acronychia pedunculata
Actinostrobus acuminatus
Actinostrobus arenarius
Actinostrobus pyramidalis
Adansonia fony var. rubrostipa
Adansonia za
Adenostoma fasciculatum
Adenostoma sparsifolium
Adesmia boronioides
Adiantum petiolatum
Agathis australis
Agathis borneensis
Agathis lanceolata
Agathis ovata
Agave deserti
Agave tequilana
Aglaia glabrata
Agonis flexuosa
Aidia canthioides
Alangium chinense
Albizia julibrissin
Alchornea davidii
Aleurites moluccana
Allocasuarina campestris
Allocasuarina humilis
Alnus alnobetula subsp. crispa
Alnus cordata
Alnus glutinosa
Alnus incana
Alnus rhombifolia
Alnus rubra
Alphitonia excelsa
Alphonsea mollis
Amborella trichopoda
Ambrosia dumosa
Ambrosia salsola
Amelanchier alnifolia
Amelanchier ovalis
Amelanchier utahensis
Amyxa pluricornis
Anacardium excelsum
Anadenanthera colubrina
Anadenanthera colubrina
Annona glabra
Anthyllis cytisoides
Aporosa yunnanensis
Araucaria columnaris
Araucaria hunsteinii
Araucaria laubenfelsii
Arbutus unedo
Archidendron lucidum
Arctostaphylos gabilanensis
Arctostaphylos glandulosa
Arctostaphylos glauca
Arctostaphylos hookeri
Arctostaphylos pajaroensis
Arctostaphylos patula
Arctostaphylos pumila
Arctostaphylos tomentosa
Arctostaphylos tomentosa subsp. crustacea
Ardisia quinquegona
Artemisia californica
Artemisia tridentata
Artemisia tridentata subsp. tridentata
Artemisia tridentata subsp. vaseyana
Artemisia tridentata subsp. wyomingensis
Artocarpus styracifolius
Ascarina lucida
Ascarina rubricaulis
Ascarina solmsiana
Aspalathus bracteata
Aspalathus hirta
Aspalathus pachyloba
Aspidosperma cylindrocarpon
Aspidosperma cylindrocarpon
Aspidosperma tomentosum
Aspidosperma tomentosum
Astronium urundeuva
Astronium urundeuva
Atherosperma moschatum
Athrotaxis laxifolia
Athrotaxis selaginoides
Atriplex canescens
Atriplex confertifolia
Atriplex polycarpa
Austrobaileya scandens
Austrocedrus chilensis
Avicennia germinans
Baccaurea ramiflora
Baccharis salicifolia
Baccharis sarothroides
Banksia attenuata
Banksia ilicifolia
Banksia littoralis
Banksia menziesii
Banksia sphaerocarpa
Barringtonia racemosa
Bassia scoparia
Bauhinia variegata
Beaufortia micrantha
Berberis microphylla
Bernardia myricifolia
Betula nigra
Betula occidentalis
Betula papyrifera
Betula pendula
Betula platyphylla
Beureria cumanensis
Bischofia javanica
Blastus cochinchinensis
Blepharocalyx salicifolius
Boheravia coccinea
Bougainvillea modesta
Bougainvillea modesta
Bourreria cumanensis
Brabejum stellatifolium
Brachychiton australis
Brachychiton discolor
Brachychiton populneus
Brachylaena neriifolia
Bridelia insulana
Broussonetia papyrifera
Brucea javanica
Brunia latebracteata
Brunia noduliflora
Bursera simaruba
Buxus sempervirens
Byrsonima crassa
Callitris rhomboidea
Calocedrus decurrens
Calycanthus floridus
Calycophyllum candidissimum
Campyloneurum aphanophlebium
Canarium album
Canarium caudatum
Canella winterana
Capparis aristiguetae
Carapa guianensis
Carpinus betulus
Carpinus orientalis
Carpinus pubescens
Carpinus tschonoskii
Carya glabra
Caryocar brasiliense
Caryota maxima
Casearia gossypiosperma
Casearia gossypiosperma
Cassipourea guianensis
Castanea sativa
Castanopsis chinensis
Ceanothus crassifolius
Ceanothus cuneatus
Ceanothus greggii
Ceanothus leucodermis
Ceanothus megacarpus
Ceanothus oliganthus
Ceanothus spinosus
Ceanothus velutinus
Cecropia concolor
Cecropia concolor
Cedrus atlantica
Cedrus deodara
Cedrus libani
Cedrus libani var. brevifolia
Ceiba speciosa
Ceiba speciosa
Celastrus orbiculatus
Celtis australis
Celtis philippensis
Celtis sinensis
Centrolobium microchaete
Centrolobium microchaete
Cerasus jamasakura
Ceratonia siliqua
Cercidium microphyllum
Cercis canadensis
Cercis siliquastrum
Cercocarpus intricatus
Cercocarpus ledifolius
